DATE,UNRATE
2016-03-01,5.0
2016-04-01,5.1
2016-05-01,4.8
2016-06-01,4.9
2016-07-01,4.8
2016-08-01,4.9
2016-09-01,5.0
2016-10-01,4.9
2016-11-01,4.7
2016-12-01,4.7
2017-01-01,4.7
2017-02-01,4.6
2017-03-01,4.4
2017-04-01,4.5
2017-05-01,4.4
2017-06-01,4.3
2017-07-01,4.3
2017-08-01,4.4
2017-09-01,4.2
2017-10-01,4.1
2017-11-01,4.2
2017-12-01,4.1
2018-01-01,4.0
2018-02-01,4.1
2018-03-01,4.0
2018-04-01,4.0
2018-05-01,3.8
2018-06-01,4.0
2018-07-01,3.8
2018-08-01,3.8
2018-09-01,3.7
2018-10-01,3.8
2018-11-01,3.8
2018-12-01,3.9
2019-01-01,4.0
2019-02-01,3.8
2019-03-01,3.8
2019-04-01,3.7
2019-05-01,3.7
2019-06-01,3.6
2019-07-01,3.6
2019-08-01,3.7
2019-09-01,3.5
2019-10-01,3.6
2019-11-01,3.6
2019-12-01,3.6
2020-01-01,3.5
2020-02-01,3.5
2020-03-01,4.4
2020-04-01,14.8
2020-05-01,13.3
2020-06-01,11.1
2020-07-01,10.2
2020-08-01,8.4
2020-09-01,7.8
2020-10-01,6.9
2020-11-01,6.7
2020-12-01,6.7
2021-01-01,6.3
2021-02-01,6.2
2021-03-01,6.0
